"STATION","NAME","DATE","DP10","DT32","DX90","PRCP","TAVG","TMAX","TMIN"
"USC00027716","SELIGMAN, AZ US","2005-07","3","0","29","1.95","75.8","95.5","56.1"
"USC00027716","SELIGMAN, AZ US","2005-08","7","0","9","3.33","70.8","86.5","55.2"
"USC00027716","SELIGMAN, AZ US","2005-09","1","0","1","0.12","64.9","84.3","45.4"
"USC00027716","SELIGMAN, AZ US","2005-10","2","3","0","2.35","57.5","74.2","40.9"
"USC00027716","SELIGMAN, AZ US","2005-11","0","18","0","0.00","48.1","66.1","30.0"
"USC00027716","SELIGMAN, AZ US","2005-12","0","30","0","0.00","39.0","57.1","20.9"
"USC00027716","SELIGMAN, AZ US","2006-01","1","30","0","0.13","39.0","57.0","20.9"
"USC00027716","SELIGMAN, AZ US","2006-02","1","25","0","0.12","42.2","61.6","22.9"
"USC00027716","SELIGMAN, AZ US","2006-03","4","24","0","1.13","41.7","56.2","27.3"
"USC00027716","SELIGMAN, AZ US","2006-04","3","10","0","0.77","53.0","70.8","35.2"
"USC00027716","SELIGMAN, AZ US","2006-05","1","1","6","0.22","63.1","83.9","42.3"
"USC00027716","SELIGMAN, AZ US","2006-06","1","0","22","0.35","72.6","93.0","52.2"
"USC00027716","SELIGMAN, AZ US","2006-07","6","0","22","2.19","76.7","92.7","60.8"
"USC00027716","SELIGMAN, AZ US","2006-08","4","0","12","1.53","71.8","87.8","55.8"
"USC00027716","SELIGMAN, AZ US","2006-09","5","0","3","2.07","64.2","81.4","47.1"
"USC00027716","SELIGMAN, AZ US","2006-10","4","13","0","1.45","53.9","71.5","36.4"
"USC00027716","SELIGMAN, AZ US","2006-11","0","21","0","0.02","47.7","66.3","29.2"
"USC00027716","SELIGMAN, AZ US","2006-12","2","27","0","0.47","38.5","55.6","21.5"
"USC00027716","SELIGMAN, AZ US","2007-01","0","29",,"0.11",,,"20.5"
"USC00027716","SELIGMAN, AZ US","2007-02","1","25","0","0.10","42.6","59.8","25.4"
"USC00027716","SELIGMAN, AZ US","2007-03","2","18",,"1.35",,,"30.5"
