"STATION","NAME","DATE","DP10","DX32","DX90","PRCP","TAVG","TMAX","TMIN"
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2014-09",5,0,2,1.23,68.8,77.1,60.5
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2014-10",11,0,0,3.56,58.7,69,48.5
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2014-11",4,1,0,3.52,43,52.9,33.1
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2014-12",6,0,0,2.54,42.3,50,34.7
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2015-01",4,2,0,1.31,35.8,45,26.7
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2015-02",5,8,0,2.61,30.7,41,20.4
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2015-03",8,1,0,4.33,47.3,57,37.5
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2015-04",9,0,0,4.99,57.1,67.8,46.4
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2015-05",4,0,0,1.75,68.9,80.7,57.1
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2015-06",10,0,8,9.07,75.4,85,65.7
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2015-07",7,0,7,4.29,77.3,86.2,68.5
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2015-08",6,0,4,3.09,75.3,85.4,65.3
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2015-09",8,0,4,8.48,70.1,80.1,60.2
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2015-10",6,0,0,6.1,57.3,67.4,47.3
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2015-11",5,0,0,4,52.2,61.7,42.8
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2015-12",9,0,0,4.55,49.9,58.9,40.8
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2016-01",6,4,0,2.99,33.5,42.7,24.4
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2016-02",7,5,0,5.24,38.5,46.6,30.5
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2016-03",6,0,0,2.25,54.1,64.7,43.6
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2016-04",5,0,0,1.13,58,70.3,45.8
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2016-05",10,0,0,6.13,64.3,73.9,54.7
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2016-06",6,0,3,6.04,74.1,84.6,63.6
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2016-07",9,0,17,5.55,79.1,89.1,69.1
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2016-08",10,0,13,4.46,77.6,86.3,69
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2016-09",7,0,6,4.76,73.5,83.2,63.9
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2016-10",3,0,0,4.42,62,72.6,51.5
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2016-11",2,0,0,1.08,51.6,63.8,39.4
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2016-12",5,1,0,2.79,40.3,48.5,32.2
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2017-01",8,3,0,4.11,41.6,49.5,33.7
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2017-02",3,0,0,0.54,48.4,60.4,36.4
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2017-03",8,0,0,2.32,48.6,59.2,38
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2017-04",8,0,0,5.93,61.9,72.3,51.5
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2017-05",12,0,1,8.15,65.5,75.2,55.8
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2017-06",6,0,2,4.5,72.6,83.3,61.9
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2017-07",6,0,19,2.07,78.6,89.8,67.4
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2017-08",4,0,7,2.31,75.1,85.1,65.1
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2017-09",4,0,2,2.39,68.8,79.6,57.9
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2017-10",6,0,0,4.18,61.4,73,49.8
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2017-11",3,0,0,0.69,47.6,58.5,36.6
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2017-12",2,2,0,0.36,39.1,47.8,30.3
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2018-01",6,8,0,2.14,34.2,44.3,24.2
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2018-02",5,0,0,3.98,46.4,56.7,36.2
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2018-03",8,0,0,3.39,43.2,52.2,34.1
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2018-04",6,0,0,4.03,54.5,66.5,42.5
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2018-05",12,0,5,9.5,72.5,82.7,62.3
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2018-06",5,0,6,3.63,75.6,85.7,65.5
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2018-07",8,0,12,4.47,76.9,86.5,67.2
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2018-08",8,0,8,5.17,76.5,86.2,66.8
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2018-09",11,0,6,9.93,73.5,81.3,65.6
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2018-10",7,0,0,5.21,60.7,69.7,51.7
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2018-11",7,0,0,4.79,44.6,53.3,35.9
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2018-12",8,0,0,6.24,41.2,49,33.4
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2019-01",8,2,0,2.32,36.3,44.4,28.1
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2019-02",9,0,0,5.79,44,53.6,34.4
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2019-03",5,0,0,1.83,46.1,56.9,35.3
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2019-04",7,0,0,4.59,60.5,72,48.9
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2019-05",11,0,8,2.8,72,83.2,60.7
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2019-06",9,0,7,5.54,72.9,82.9,62.9
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2019-07",6,0,22,4.7,79.5,90.4,68.7
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2019-08",6,0,16,3.14,77,87.6,66.3
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2019-09",3,0,9,1.37,75.5,86.6,64.3
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2019-10",10,0,3,6.33,62.1,72.3,51.9
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2019-11",4,0,0,1.31,44.3,55.1,33.5
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2019-12",5,0,0,2.84,43.1,51.9,34.3
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2020-01",6,0,0,3.26,41.5,49.6,33.4
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2020-02",7,0,0,4.08,44,53.1,34.8
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2020-03",9,0,0,3.24,54.4,64.4,44.4
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2020-04",9,0,0,5.85,55.7,67,44.5
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2020-05",10,0,0,11.44,62.4,71.6,53.3
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2020-06",7,0,6,7.72,73.6,83.7,63.6
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2020-07",4,0,30,3.53,81.8,92.8,70.8
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2020-08",8,0,9,4.18,77.4,85.9,68.9
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2020-09",5,0,2,5.33,68.2,77.3,59.1
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2020-10",5,0,0,4.57,60.6,71.7,49.4
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2020-11",5,0,0,5.85,53.3,64.4,42.3
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2020-12",4,0,0,3.63,40.7,50.1,31.4
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2021-01",9,1,0,4.19,38.1,45.9,30.4
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2021-02",10,0,0,4.38,38.7,46.4,31
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2021-03",8,0,0,2.95,50.7,62.4,39
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2021-04",4,0,0,2,57.7,69.6,45.8
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2021-05",4,0,2,1.94,64.6,76.3,53
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2021-06",7,0,7,4.37,74.8,85.1,64.4
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2021-07",7,0,17,3.01,78.6,89.6,67.6
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2021-08",10,0,18,5.4,79.4,89.7,69.1
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2021-09",4,0,2,4.85,71.5,82.3,60.7
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2021-10",5,0,0,3.13,64.2,73.3,55.1
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2021-11",2,0,0,0.96,46,57.8,34.3
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2021-12",2,0,0,0.69,48.3,58.9,37.6
"USW00013741","ROANOKE INTERNATIONAL AIRPORT, VA US","2022-01",7,3,0,3.76,34.6,43.7,25.4
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2000-01",7,20,0,1.94,18,27.5,8.6
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2000-02",7,19,0,2.11,23.6,34.7,12.4
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2000-03",8,2,0,2.53,37.2,48.2,26.1
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2000-04",5,0,0,1.51,41,52.3,29.8
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2000-05",6,0,0,1.93,54.8,66.5,43
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2000-06",6,0,0,2.19,61.4,72,50.9
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2000-07",4,0,0,1.36,65.5,77.1,53.9
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2000-08",7,0,1,3.89,62.7,76.8,48.6
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2000-09",7,0,0,1.95,54.8,67.7,41.8
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2000-10",3,0,0,0.89,47,60.3,33.7
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2000-11",7,5,0,2.81,35.3,41.9,28.7
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2000-12",4,27,0,1.14,14.8,23.8,5.7
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2001-01",4,21,0,2.11,22.1,29.7,14.4
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2001-02",6,25,0,2.14,18,26.7,9.3
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2001-03",0,13,0,0.33,24.1,34.6,13.5
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2001-04",4,0,0,1.98,42.7,55.9,29.6
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2001-05",10,0,0,3.16,55.1,68.6,41.6
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2001-06",6,0,2,2.59,62.3,75.9,48.8
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2001-07",3,0,1,1.48,64.2,78.2,50.3
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2001-08",6,0,2,4.46,65.7,78.6,52.8
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2001-09",8,0,0,4.86,55.2,66.8,43.6
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2001-10",13,0,0,6.29,45.1,56,34.2
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2001-11",7,1,0,2.71,41.8,50.2,33.4
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2001-12",9,9,0,2.89,30.4,37.5,23.3
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2002-01",1,19,0,0.58,25.3,32.6,18.1
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2002-02",4,12,0,1.41,21.6,32.8,10.4
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2002-03",5,16,0,2.6,21.5,32.2,10.7
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2002-04",7,2,0,2.85,38.9,50.3,27.5
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2002-05",8,0,0,4.74,46.4,58.4,34.4
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2002-06",7,0,1,3.62,61.7,73.6,49.8
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2002-07",3,0,1,2.18,68.7,81.3,56.2
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2002-08",9,0,1,5.25,64,77.5,50.4
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2002-09",2,0,0,0.86,60.3,73.5,47
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2002-10",7,0,0,3.54,40.4,50.1,30.7
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2002-11",3,5,0,0.74,31.2,39.8,22.6
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2002-12",2,13,0,0.64,25,33.2,16.8
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2003-01",1,28,0,0.44,15.1,23.1,7.2
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2003-02",1,23,0,0.46,10.3,22.1,-1.5
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2003-03",5,12,0,1.28,23.8,36.6,10.9
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2003-04",7,5,0,2.9,35.9,49.1,22.8
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2003-05",5,0,0,2.54,50.2,64.2,36.2
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2003-06",3,0,2,2.06,58.7,74.3,43.1
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2003-07",6,0,0,6.11,64.7,78.2,51.2
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2003-08",6,0,0,2.62,66,79.2,52.7
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2003-09",8,0,0,3.07,57.3,70.1,44.5
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2003-10",9,0,0,3.33,44.3,55.4,33.2
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2003-11",7,1,0,3.95,36.7,44.3,29.1
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2003-12",3,12,0,1.42,27.6,35.3,20
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2004-01",2,28,0,1.04,11,19.6,2.4
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2004-02",3,18,0,1.07,19.8,31.3,8.3
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2004-03",6,7,0,2.59,29.8,39.2,20.3
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2004-04",6,0,0,2.11,40.6,53.2,28.1
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2004-05",8,0,0,5.44,49.3,61.4,37.3
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2004-06",4,0,0,1.67,58.3,72.2,44.4
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2004-07",5,0,0,1.79,62.6,76.3,48.9
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2004-08",6,0,0,3.2,60,73,47
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2004-09",5,0,0,1.37,60.5,75.9,45.2
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2004-10",10,0,0,4.87,47.1,57.2,37.1
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2004-11",7,1,0,3.18,36.7,44.9,28.6
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2004-12",6,14,0,2.61,21,30.4,11.6
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2005-01",3,28,0,1.37,14,23.5,4.5
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2005-02",2,17,0,0.89,22.4,31.5,13.3
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2005-03",3,12,0,0.78,21.3,34.7,7.8
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2005-04",4,0,0,1.26,42.9,57,28.7
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2005-05",5,0,0,1.48,49.5,63.5,35.4
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2005-06",7,0,2,1.46,67.7,81.2,54.3
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2005-07",6,0,8,2.79,67.8,83.2,52.3
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2005-08",8,0,2,5.07,65.9,78.6,53.3
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2005-09",6,0,0,2.5,60.9,74.4,47.3
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2005-10",6,0,0,1.59,49.4,60.3,38.6
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2005-11",11,5,0,4.2,37.5,45.2,29.7
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2005-12",7,23,0,1.55,23.4,29.2,17.6
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2006-01",6,13,0,2.41,26.3,33.9,18.7
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2006-02",1,22,0,0.54,18.9,27.8,10
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2006-03",2,8,0,0.77,28.7,39.6,17.8
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2006-04",5,0,0,1.76,44,58.2,29.7
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2006-05",8,0,1,3.99,54.8,67.6,42.1
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2006-06",2,0,2,0.77,61.8,77,46.5
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2006-07",5,0,5,2.31,69.7,83.6,55.7
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2006-08",5,0,1,2.78,63.9,76.9,50.9
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2006-09",7,0,0,3.23,54.7,67.5,41.9
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2006-10",11,0,0,5.05,43.5,52.9,34
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2006-11",4,0,0,1.26,39.1,45.9,32.2
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2006-12",6,5,0,2.59,30.9,37,24.7
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2007-01",1,21,0,0.57,22.6,30.1,15.2
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2007-02",3,23,0,0.43,11.9,22,1.9
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2007-03",6,10,0,2.07,31.5,42.4,20.6
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2007-04",5,4,0,1.38,38,50.2,25.7
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2007-05",3,0,0,1.1,54.3,70,38.6
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2007-06",5,0,5,1.93,64,79.2,48.8
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2007-07",6,0,1,2.74,65,79,50.9
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2007-08",5,0,2,1.21,65.1,79.6,50.6
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2007-09",7,0,0,3.57,59.7,72.7,46.8
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2007-10",13,0,0,4.02,53,63.4,42.6
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2007-11",4,4,0,1.19,34.4,42.3,26.4
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2007-12",1,18,0,0.67,24.4,31.1,17.8
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2008-01",4,20,0,1.84,22.7,29.5,16
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2008-02",3,23,0,0.87,14.5,25.5,3.6
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2008-03",2,15,0,0.85,21.4,32.7,10.1
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2008-04",7,0,0,3.32,43.8,55.8,31.7
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2008-05",7,0,0,3.71,48.3,61.4,35.1
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2008-06",10,0,0,3.41,63.2,73.7,52.6
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2008-07",10,0,0,3.4,66.1,77.6,54.6
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2008-08",3,0,0,1.73,63.9,78.3,49.4
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2008-09",8,0,1,2.53,56.4,69.9,42.9
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2008-10",5,0,0,1.83,43.3,55.2,31.4
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2008-11",5,4,0,1.76,34.5,41.6,27.3
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2008-12",8,23,0,1.81,19.8,27.1,12.6
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2009-01",0,30,0,0.3,8.5,19.8,-2.9
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2009-02",5,17,0,1.05,17.3,29,5.7
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2009-03",3,7,0,0.67,25.4,36.9,14
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2009-04",4,1,0,1.04,40.1,51.2,29
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2009-05",7,0,0,2.17,48.1,62.7,33.5
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2009-06",5,0,2,1.71,59.4,72.5,46.2
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2009-07",7,0,0,1.54,60.6,72.4,48.8
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2009-08",8,0,0,5.48,61.9,74,49.8
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2009-09",3,0,0,1.58,57.4,72.4,42.4
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2009-10",12,0,0,6.06,43,51,35.1
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2009-11",4,0,0,1.16,38.8,49.1,28.4
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2009-12",6,24,0,1.3,21.6,29.5,13.8
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2010-01",0,21,0,0.17,19.5,27,12
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2010-02",0,21,0,0.04,19.5,28.9,10
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2010-03",0,0,0,0.03,34.6,48.7,20.5
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2010-04",5,0,0,1.16,45.6,60.7,30.5
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2010-05",4,0,1,1.55,55.7,70.2,41.1
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2010-06",13,0,0,8.47,60.6,71.9,49.3
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2010-07",6,0,1,1.45,68.4,80.7,56.1
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2010-08",10,0,0,4.07,67.9,79.6,56.2
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2010-09",11,0,0,6.44,54.6,65.5,43.8
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2010-10",6,0,0,1.47,46.1,58.7,33.4
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2010-11",5,1,0,1.39,37.5,46.2,28.8
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2010-12",2,26,0,0.51,22.4,28.6,16.1
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2011-01",0,30,0,0.33,12.3,21.7,2.9
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2011-02",0,19,0,0.11,19.5,29.3,9.7
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2011-03",4,12,0,0.57,25.9,36.3,15.5
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2011-04",9,1,0,5.17,39.2,50.6,27.8
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2011-05",4,0,0,1.94,53.6,65.6,41.6
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2011-06",6,0,1,4.9,60.9,73.8,48
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2011-07",5,0,2,1.3,69.4,82.7,56.2
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2011-08",7,0,0,2.17,65.5,78.3,52.6
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2011-09",9,0,0,4.26,56.2,68.8,43.6
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2011-10",3,0,0,3.42,47.2,59.6,34.9
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2011-11",7,0,0,2.88,39.3,47.2,31.4
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2011-12",3,10,0,0.87,28.9,35.3,22.5
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2012-01",3,15,0,1.35,22.9,32,13.9
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2012-02",1,7,0,0.25,26.5,34,19
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2012-03",7,3,0,1.91,40.6,53.8,27.3
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2012-04",3,0,0,1.66,39.7,53.7,25.8
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2012-05",6,0,1,1.81,55.1,71,39.2
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2012-06",9,0,2,4.55,63.9,77.6,50.3
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2012-07",7,0,3,3.56,68.8,82.2,55.5
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2012-08",6,0,3,1.18,65.5,79.1,52
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2012-09",6,0,0,2.18,54.7,67.9,41.5
