"STATION","NAME","DATE","DP10","DX32","DX90","PRCP","TAVG","TMAX","TMIN"
"USW00093919","MCCOMB AIRPORT, MS US","2005-03",9,0,0,6.03,56.2,68.1,44.4
"USW00093919","MCCOMB AIRPORT, MS US","2005-04",6,0,0,3.94,63.4,76,50.8
"USW00093919","MCCOMB AIRPORT, MS US","2005-05",5,0,4,4.47,71.8,83.2,60.4
"USW00093919","MCCOMB AIRPORT, MS US","2005-06",4,0,19,2.65,79.3,90.3,68.3
"USW00093919","MCCOMB AIRPORT, MS US","2005-07",12,0,24,6.42,81.7,90.9,72.5
"USW00093919","MCCOMB AIRPORT, MS US","2005-08",6,0,28,9.21,82.5,92.7,72.2
"USW00093919","MCCOMB AIRPORT, MS US","2005-09",2,0,22,1.43,80.3,91,69.6
"USW00093919","MCCOMB AIRPORT, MS US","2005-10",0,0,4,0,67.6,80.9,54.3
"USW00093919","MCCOMB AIRPORT, MS US","2005-11",3,0,0,2.37,58.9,71.6,46.1
"USW00093919","MCCOMB AIRPORT, MS US","2005-12",5,0,0,5.57,47.7,59.6,35.8
"USW00093919","MCCOMB AIRPORT, MS US","2006-01",6,0,0,6.02,53.5,65.9,41.1
"USW00093919","MCCOMB AIRPORT, MS US","2006-02",7,0,0,4.77,49.8,61.1,38.4
"USW00093919","MCCOMB AIRPORT, MS US","2006-03",5,0,0,2.47,60.1,71.2,49
"USW00093919","MCCOMB AIRPORT, MS US","2006-04",6,0,0,5.19,69,81.4,56.5
"USW00093919","MCCOMB AIRPORT, MS US","2006-05",4,0,4,1.96,72.2,84,60.3
"USW00093919","MCCOMB AIRPORT, MS US","2006-06",3,0,25,1.53,79.9,92.2,67.7
"USW00093919","MCCOMB AIRPORT, MS US","2006-07",8,0,20,6.67,80.5,90.5,70.4
"USW00093919","MCCOMB AIRPORT, MS US","2006-08",6,0,27,4.92,82,92.1,71.9
"USW00093919","MCCOMB AIRPORT, MS US","2006-09",6,0,6,5.83,75.2,86.2,64.1
"USW00093919","MCCOMB AIRPORT, MS US","2006-10",8,0,3,9,66.3,78.5,54.1
"USW00093919","MCCOMB AIRPORT, MS US","2006-11",6,0,0,3.81,55.3,68.8,41.9
"USW00093919","MCCOMB AIRPORT, MS US","2006-12",8,0,0,5.52,51.3,62,40.6
"USW00093919","MCCOMB AIRPORT, MS US","2007-01",8,0,0,5.66,48.7,57.6,39.8
"USW00093919","MCCOMB AIRPORT, MS US","2007-02",4,0,0,1.8,49.6,62.5,36.8
"USW00093919","MCCOMB AIRPORT, MS US","2007-03",5,0,0,1.63,61.5,75.1,47.9
"USW00093919","MCCOMB AIRPORT, MS US","2007-04",6,0,0,4.09,62.9,74.7,51
"USW00093919","MCCOMB AIRPORT, MS US","2007-05",5,0,3,4.54,72.3,83.7,60.9
"USW00093919","MCCOMB AIRPORT, MS US","2007-06",7,0,19,3.16,79.3,90.5,68
"USW00093919","MCCOMB AIRPORT, MS US","2007-07",12,0,9,10.82,78.8,88,69.6
"USW00093919","MCCOMB AIRPORT, MS US","2007-08",4,0,29,0.99,83.4,94.7,72.1
"USW00093919","MCCOMB AIRPORT, MS US","2007-09",5,0,10,2.66,77.8,87.9,67.7
"USW00093919","MCCOMB AIRPORT, MS US","2007-10",6,0,0,2.86,68.3,79.2,57.4
"USW00093919","MCCOMB AIRPORT, MS US","2007-11",3,0,0,1.34,58.3,69.8,46.7
"USW00093919","MCCOMB AIRPORT, MS US","2007-12",7,0,0,4.2,55.1,65.8,44.4
"USW00093919","MCCOMB AIRPORT, MS US","2008-01",10,0,0,8.71,47.4,57.1,37.7
"USW00093919","MCCOMB AIRPORT, MS US","2008-02",6,0,0,2.96,53.8,67.2,40.3
"USW00093919","MCCOMB AIRPORT, MS US","2008-03",7,0,0,4.76,58.5,71.6,45.5
"USW00093919","MCCOMB AIRPORT, MS US","2008-04",4,0,0,3.28,65.3,77.1,53.4
"USW00093919","MCCOMB AIRPORT, MS US","2008-05",5,0,2,3.11,72.9,83.8,61.9
"USW00093919","MCCOMB AIRPORT, MS US","2008-06",7,0,28,2.07,80.3,92.2,68.3
"USW00093919","MCCOMB AIRPORT, MS US","2008-07",5,0,28,1.8,81.6,93.8,69.5
"USW00093919","MCCOMB AIRPORT, MS US","2008-08",11,0,19,8.2,79.8,89.3,70.3
"USW00093919","MCCOMB AIRPORT, MS US","2008-09",8,0,2,10.94,75.3,83.5,67
"USW00093919","MCCOMB AIRPORT, MS US","2008-10",2,0,0,1.06,64.5,76.5,52.5
"USW00093919","MCCOMB AIRPORT, MS US","2008-11",6,0,0,5.38,55.4,68.1,42.7
"USW00093919","MCCOMB AIRPORT, MS US","2008-12",6,0,0,5.67,53.1,63.2,42.9
"USW00093919","MCCOMB AIRPORT, MS US","2009-01",5,0,0,2.29,49.7,61.4,38
"USW00093919","MCCOMB AIRPORT, MS US","2009-02",6,0,0,3.34,53.5,66,41
"USW00093919","MCCOMB AIRPORT, MS US","2009-03",8,0,0,11.2,61.1,72,50.1
"USW00093919","MCCOMB AIRPORT, MS US","2009-04",3,0,0,2.46,64.8,76.2,53.4
"USW00093919","MCCOMB AIRPORT, MS US","2009-05",8,0,0,6.62,73.7,83,64.3
"USW00093919","MCCOMB AIRPORT, MS US","2009-06",0,0,22,0.05,81.8,94.1,69.5
"USW00093919","MCCOMB AIRPORT, MS US","2009-07",9,0,21,5.15,81.3,92.1,70.4
"USW00093919","MCCOMB AIRPORT, MS US","2009-08",8,0,16,5.26,79.7,89.4,69.9
"USW00093919","MCCOMB AIRPORT, MS US","2009-09",12,0,4,7.65,77.2,85.7,68.8
"USW00093919","MCCOMB AIRPORT, MS US","2009-10",11,0,1,6.81,66.4,76,56.7
"USW00093919","MCCOMB AIRPORT, MS US","2009-11",3,0,0,1.69,56.3,68.3,44.2
"USW00093919","MCCOMB AIRPORT, MS US","2009-12",12,0,0,11.85,47.6,56.7,38.5
"USW00093919","MCCOMB AIRPORT, MS US","2010-01",6,1,0,3.95,43.5,54.6,32.3
"USW00093919","MCCOMB AIRPORT, MS US","2010-02",9,0,0,6.48,42.9,53.3,32.4
"USW00093919","MCCOMB AIRPORT, MS US","2010-03",6,0,0,2.72,53.7,66.1,41.4
"USW00093919","MCCOMB AIRPORT, MS US","2010-04",4,0,0,1.42,66.4,78.4,54.4
"USW00093919","MCCOMB AIRPORT, MS US","2010-05",7,0,6,4.02,75.9,86.4,65.4
"USW00093919","MCCOMB AIRPORT, MS US","2010-06",8,0,21,5.94,81.4,90.9,71.9
"USW00093919","MCCOMB AIRPORT, MS US","2010-07",10,0,23,4.41,81.9,90.9,72.9
"USW00093919","MCCOMB AIRPORT, MS US","2010-08",12,0,22,12.25,82.4,91,73.8
"USW00093919","MCCOMB AIRPORT, MS US","2010-09",1,0,20,0.15,77.9,89.3,66.6
"USW00093919","MCCOMB AIRPORT, MS US","2010-10",2,0,1,0.71,67.7,82.5,52.9
"USW00093919","MCCOMB AIRPORT, MS US","2010-11",9,0,0,3.2,57.7,69.9,45.6
"USW00093919","MCCOMB AIRPORT, MS US","2010-12",6,0,0,2.89,46.4,58,34.8
"USW00093919","MCCOMB AIRPORT, MS US","2011-01",7,0,0,4.22,45.3,56.2,34.3
"USW00093919","MCCOMB AIRPORT, MS US","2011-02",4,1,0,1.79,52.2,64.4,40.1
"USW00093919","MCCOMB AIRPORT, MS US","2011-03",7,0,0,8.26,61.1,73.4,48.8
"USW00093919","MCCOMB AIRPORT, MS US","2011-04",5,0,0,1.89,69.2,81.7,56.6
"USW00093919","MCCOMB AIRPORT, MS US","2011-05",3,0,12,0.76,73.2,85.5,60.9
"USW00093919","MCCOMB AIRPORT, MS US","2011-06",9,0,25,5.96,82.7,94.4,70.9
"USW00093919","MCCOMB AIRPORT, MS US","2011-07",9,0,23,5.11,82.7,91.9,73.5
"USW00093919","MCCOMB AIRPORT, MS US","2011-08",3,0,31,1.65,84.7,96.2,73.2
"USW00093919","MCCOMB AIRPORT, MS US","2011-09",6,0,4,8.46,74.3,84.8,63.9
"USW00093919","MCCOMB AIRPORT, MS US","2011-10",1,0,0,0.31,63.7,78,49.4
"USW00093919","MCCOMB AIRPORT, MS US","2011-11",6,0,0,4.73,58.3,70,46.5
"USW00093919","MCCOMB AIRPORT, MS US","2011-12",7,0,0,6.62,52,62.3,41.6
"USW00093919","MCCOMB AIRPORT, MS US","2012-01",9,0,0,10.29,55.1,66.8,43.5
"USW00093919","MCCOMB AIRPORT, MS US","2012-02",9,0,0,7.43,55.7,64.6,46.8
"USW00093919","MCCOMB AIRPORT, MS US","2012-03",7,0,0,7.43,66.6,77.1,56.2
"USW00093919","MCCOMB AIRPORT, MS US","2012-04",5,0,0,3.23,67.4,79,55.8
"USW00093919","MCCOMB AIRPORT, MS US","2012-05",5,0,11,2.72,75.3,87.2,63.4
"USW00093919","MCCOMB AIRPORT, MS US","2012-06",2,0,17,0.71,80.4,91.8,69
"USW00093919","MCCOMB AIRPORT, MS US","2012-07",16,0,21,9.07,81.2,90.6,71.9
"USW00093919","MCCOMB AIRPORT, MS US","2012-08",13,0,16,16.05,80.3,88.8,71.8
"USW00093919","MCCOMB AIRPORT, MS US","2012-09",8,0,5,5.64,76,85.7,66.3
"USW00093919","MCCOMB AIRPORT, MS US","2012-10",1,0,0,0.8,64.4,76.5,52.2
"USW00093919","MCCOMB AIRPORT, MS US","2012-11",5,0,0,2.17,55.4,68.6,42.2
"USW00093919","MCCOMB AIRPORT, MS US","2012-12",8,0,0,7.23,54.4,65.1,43.7
"USW00093919","MCCOMB AIRPORT, MS US","2013-01",11,0,0,8.49,52.6,62.3,42.8
"USW00093919","MCCOMB AIRPORT, MS US","2013-02",10,0,0,7.88,52.8,63.1,42.5
"USW00093919","MCCOMB AIRPORT, MS US","2013-03",3,0,0,1.96,53.9,67.1,40.6
"USW00093919","MCCOMB AIRPORT, MS US","2013-04",8,0,0,6.32,64.3,75.5,53.2
"USW00093919","MCCOMB AIRPORT, MS US","2013-05",4,0,0,3.74,70.5,81.2,59.8
"USW00093919","MCCOMB AIRPORT, MS US","2013-06",10,0,19,3.85,80,89.7,70.3
"USW00093919","MCCOMB AIRPORT, MS US","2013-07",6,0,16,4.39,79.9,89.3,70.5
"USW00093919","MCCOMB AIRPORT, MS US","2013-08",7,0,19,6.41,80.9,90.6,71.2
"USW00093919","MCCOMB AIRPORT, MS US","2013-09",5,0,20,4.1,79,89.5,68.6
"USW00093919","MCCOMB AIRPORT, MS US","2013-10",3,0,0,1.38,68.7,79.1,58.3
"USW00093919","MCCOMB AIRPORT, MS US","2013-11",3,0,0,0.94,55,66.2,43.9
"USW00093919","MCCOMB AIRPORT, MS US","2013-12",6,0,0,5.41,50.4,60.7,40.2
"USW00093919","MCCOMB AIRPORT, MS US","2014-01",6,3,0,2.07,41.5,54.5,28.4
"USW00093919","MCCOMB AIRPORT, MS US","2014-02",9,0,0,9.45,50.5,61.4,39.6
"USW00093919","MCCOMB AIRPORT, MS US","2014-03",6,0,0,5.72,55.3,67.3,43.4
"USW00093919","MCCOMB AIRPORT, MS US","2014-04",4,0,0,3.3,65.3,76.7,53.9
"USW00093919","MCCOMB AIRPORT, MS US","2014-05",7,0,0,7.03,71.3,82.7,59.9
"USW00093919","MCCOMB AIRPORT, MS US","2014-06",10,0,12,5.01,78.7,87.8,69.6
"USW00093919","MCCOMB AIRPORT, MS US","2014-07",3,0,17,3.63,79.2,88.7,69.7
"USW00093919","MCCOMB AIRPORT, MS US","2014-08",7,0,26,2.33,81.4,91.2,71.6
"USW00093919","MCCOMB AIRPORT, MS US","2014-09",7,0,13,2.72,78.5,88,69
"USW00093919","MCCOMB AIRPORT, MS US","2014-10",2,0,1,2.12,68.5,80.8,56.2
"USW00093919","MCCOMB AIRPORT, MS US","2014-11",4,0,0,2.47,52.8,65.1,40.6
"USW00093919","MCCOMB AIRPORT, MS US","2014-12",7,0,0,4.99,54.1,64.2,44
"USW00093919","MCCOMB AIRPORT, MS US","2015-01",3,0,0,5.7,47.1,58.2,36
"USW00093919","MCCOMB AIRPORT, MS US","2015-02",6,0,0,2.67,47.1,58.5,35.8
"USW00093919","MCCOMB AIRPORT, MS US","2015-03",9,0,0,8.14,62.9,73.4,52.4
